Symbol,Series,Date,Prev Close,Open,High,Low,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,1/25/2017,2318.35,2322.6,2360,2318.05,2357,2353,2342.18,2055824,4815099961,97383,1547526,75.28
TCS,EQ,1/27/2017,2353,2345.05,2378.75,2345.05,2359,2357.8,2364.53,1435829,3395067791,92758,1211620,84.38
TCS,EQ,1/30/2017,2357.8,2341,2351.95,2318.15,2338.85,2332.9,2332.5,1288978,3006538348,69978,1088546,84.45
TCS,EQ,1/31/2017,2332.9,2320,2332.05,2200.05,2232,2229.8,2241.5,2333402,5230322456,110541,1429985,61.28
TCS,EQ,2/1/2017,2229.8,2220,2239.95,2155.55,2164.9,2167.9,2175.8,2432076,5291712359,132666,1376549,56.6
TCS,EQ,2/2/2017,2167.9,2170.05,2219,2153,2204.45,2207.65,2181.08,3004741,6553591202,144956,1934670,64.39
TCS,EQ,2/3/2017,2207.65,2209.7,2243,2191,2238.8,2232.55,2221.59,1076686,2391954121,54554,607431,56.42
TCS,EQ,2/6/2017,2232.55,2258,2258.5,2214.95,2242,2240.75,2234.09,1204455,2690866088,64627,831461,69.03
TCS,EQ,2/7/2017,2240.75,2244,2252.6,2226,2245.9,2244.6,2243.18,907319,2035275818,34002,668176,73.64
TCS,EQ,2/8/2017,2244.6,2244.9,2282.6,2244.05,2281,2270.95,2270.63,1106292,2511976964,58066,783883,70.86
TCS,EQ,2/9/2017,2270.95,2275,2328,2270.2,2317,2317.3,2307.82,2016601,4653944450,112590,1620147,80.34
TCS,EQ,2/10/2017,2317.3,2311,2424.45,2311,2382.9,2397.95,2363.49,2891080,6833046949,145483,2117700,73.25
TCS,EQ,2/13/2017,2397.95,2396,2429,2382.35,2409.1,2414.25,2410.42,1909906,4603667357,104603,1222149,63.99
TCS,EQ,2/14/2017,2414.25,2419.65,2419.65,2398,2398.15,2406.25,2409.94,1016664,2450097018,76040,735744,72.37
TCS,EQ,2/15/2017,2406.25,2397,2428,2375.1,2423.45,2413.7,2405.57,962486,2315327647,57071,542885,56.4
TCS,EQ,2/16/2017,2413.7,2460,2478,2435.6,2450,2447.75,2452.74,2087840,5120936863,99962,1227336,58.78
TCS,EQ,2/17/2017,2447.75,2472,2475.6,2402,2415,2407.9,2421.27,1361662,3296953906,64946,826265,60.68
TCS,EQ,2/20/2017,2407.9,2425,2555,2408.1,2505,2502.2,2478.91,1986974,4925531623,84695,885808,44.58
TCS,EQ,2/21/2017,2502.2,2514,2525.9,2455.15,2461.5,2465.35,2490.33,2750556,6849804248,102552,1154293,41.97
TCS,EQ,2/22/2017,2465.35,2465.9,2470,2400.15,2409.95,2411.5,2424.5,2252748,5461797325,101642,1583569,70.29
TCS,EQ,2/23/2017,2411.5,2415,2493.25,2415,2479,2481.8,2467.63,2426676,5988140300,120055,1527553,62.95
TCS,EQ,2/27/2017,2481.8,2479.1,2502,2470.05,2492,2489.85,2489.22,1069946,2663332100,44416,585722,54.74
TCS,EQ,2/28/2017,2489.85,2489.5,2490,2450,2460,2466.25,2465.7,1177414,2903153878,58003,671675,57.05
TCS,EQ,3/1/2017,2466.25,2479.9,2501.9,2470,2475.3,2479.55,2486.14,565187,1405135910,36305,243067,43.01
TCS,EQ,3/2/2017,2479.55,2486.7,2510,2470.05,2503.2,2501.45,2497.75,772471,1929438452,44956,401595,51.99
TCS,EQ,3/3/2017,2501.45,2492,2499.7,2475.4,2490,2494.05,2488.47,506985,1261617129,33930,256327,50.56
TCS,EQ,3/6/2017,2494.05,2480,2484,2454.55,2477.4,2472.5,2467.59,700347,1728171969,31798,336942,48.11
TCS,EQ,3/7/2017,2472.5,2482.9,2505,2475.05,2505,2499.8,2494.54,755836,1885463741,40150,457797,60.57
TCS,EQ,3/8/2017,2499.8,2502,2520,2492.2,2515.5,2512.2,2506.23,895755,2244966605,58118,571017,63.75
TCS,EQ,3/9/2017,2512.2,2514.15,2524,2504.05,2522,2519.75,2516.57,429234,1080198641,34781,213225,49.68
TCS,EQ,3/10/2017,2519.75,2519.6,2549.55,2513.95,2542.3,2542.25,2538.1,585710,1486590387,40437,336059,57.38
TCS,EQ,3/14/2017,2542.25,2556.8,2587.15,2551.05,2569.85,2567.5,2570.09,1701147,4372097613,79617,1396289,82.08
TCS,EQ,3/15/2017,2567.5,2572,2572.15,2493.85,2499,2498.3,2512.68,1511248,3797287202,80366,1050304,69.5
TCS,EQ,3/16/2017,2498.3,2506,2527,2506,2521.95,2520.9,2518.82,785909,1979564854,38597,500981,63.75
TCS,EQ,3/17/2017,2520.9,2546,2546,2509.75,2532.15,2525.75,2526.1,1296576,3275280167,68693,944262,72.83
TCS,EQ,3/20/2017,2525.75,2525.95,2525.95,2466,2476.1,2480,2484.21,1743770,4331887420,53873,983759,56.42
TCS,EQ,3/21/2017,2480,2482,2492,2465,2484.85,2486.7,2480.49,1686850,4184219727,35144,907802,53.82
TCS,EQ,3/22/2017,2486.7,2480.15,2496,2469.95,2472.3,2478.95,2480.43,944358,2342413605,33906,597246,63.24
TCS,EQ,3/23/2017,2478.95,2482,2485.05,2447.2,2457.95,2460.35,2460.01,1310319,3223394959,44174,878276,67.03
TCS,EQ,3/24/2017,2460.35,2469.8,2469.8,2423.3,2428,2427.2,2437.96,2549907,6216581146,53320,1519633,59.6
TCS,EQ,3/27/2017,2427.2,2426.95,2440,2406,2411,2412.05,2418.6,1090635,2637809011,52262,804912,73.8
TCS,EQ,3/28/2017,2412.05,2410,2443.4,2410,2430.7,2429.95,2431.89,576579,1402176401,35869,349059,60.54
TCS,EQ,3/29/2017,2429.95,2436,2450.8,2425.6,2443.1,2444.6,2439.98,858882,2095657290,58433,601243,70
TCS,EQ,3/30/2017,2444.6,2444.9,2465,2435,2436.7,2441,2448.49,1493043,3655700076,63889,1139608,76.33
TCS,EQ,3/31/2017,2441,2438.4,2440.85,2415,2423.1,2431.8,2426.64,933522,2265321422,43625,604696,64.78
TCS,EQ,4/3/2017,2431.8,2435,2435,2408.2,2410,2411.7,2418,598444,1447037677,29133,396994,66.34
TCS,EQ,4/5/2017,2411.7,2419.9,2419.9,2395,2404.5,2401.25,2401.62,1452784,3489032404,96591,1059317,72.92
TCS,EQ,4/6/2017,2401.25,2400,2410,2392.55,2395,2400.05,2399.64,860352,2064532793,35993,617261,71.75
TCS,EQ,4/7/2017,2400.05,2394.9,2433.25,2392.15,2432,2429.05,2418.91,1138506,2753948935,70769,753307,66.17
TCS,EQ,4/10/2017,2429.05,2432,2449,2405,2408,2422.25,2434.88,1271632,3096272696,47017,938567,73.81
TCS,EQ,4/11/2017,2422.25,2417.3,2443.1,2406,2419.65,2419.3,2429.55,778892,1892359268,36564,584733,75.07
TCS,EQ,4/12/2017,2419.3,2422.5,2428,2383,2392,2393.25,2403.41,525269,1262434614,36629,331274,63.07
TCS,EQ,4/13/2017,2393.25,2400,2409,2321.05,2335,2328.65,2340.72,1250236,2926458639,94763,817092,65.36
TCS,EQ,4/17/2017,2328.65,2330.4,2332.9,2295.15,2319,2314.85,2309.69,1135441,2622515682,30523,537794,47.36
TCS,EQ,4/18/2017,2314.85,2330,2334.2,2302.05,2302.05,2308.8,2319.46,865310,2007051616,32093,271082,31.33
TCS,EQ,4/19/2017,2308.8,2263.5,2348.7,2252.8,2302,2299.15,2297.47,2813406,6463724126,118781,928052,32.99
TCS,EQ,4/20/2017,2299.15,2305.3,2332,2290.95,2325,2325.5,2309.27,634421,1465051937,58222,372946,58.79
TCS,EQ,4/21/2017,2325.5,2329.1,2335.65,2301,2312,2310.8,2313.83,580577,1343353657,29955,361176,62.21
TCS,EQ,4/24/2017,2310.8,2300,2339.65,2282.5,2328,2328.1,2317.25,1000010,2317273548,48463,638695,63.87
TCS,EQ,4/25/2017,2328.1,2328,2344.45,2302.7,2310,2311.5,2313.08,1574355,3641606876,83159,1306150,82.96
TCS,EQ,4/26/2017,2311.5,2340,2343.95,2303.05,2310,2310.35,2312.81,1093719,2529562499,47332,845965,77.35
TCS,EQ,4/27/2017,2310.35,2306.05,2327.8,2277.65,2289.8,2302.65,2307.22,2886593,6659993493,90044,2491865,86.33
TCS,EQ,4/28/2017,2302.65,2294,2298.75,2268,2275,2273.15,2281.49,1270255,2898077017,71376,962404,75.76
TCS,EQ,5/2/2017,2273.15,2294,2302,2280,2288.15,2289.9,2291.39,1191348,2729841238,84453,954608,80.13
TCS,EQ,5/3/2017,2289.9,2295,2345,2268.5,2337.8,2337.3,2321.66,1757203,4079634982,90354,1185505,67.47
TCS,EQ,5/4/2017,2337.3,2349.95,2350,2308.8,2331.9,2330.1,2326.77,1354104,3150690120,64467,1007903,74.43
TCS,EQ,5/5/2017,2330.1,2308,2332.5,2302.5,2323,2320.5,2319.55,841237,1951289537,44152,484888,57.64
TCS,EQ,5/8/2017,2320.5,2321,2347.4,2317.7,2342,2342.45,2337.57,535891,1252684796,40124,344969,64.37
TCS,EQ,5/9/2017,2342.45,2343.95,2361,2332.55,2355,2352.55,2349.47,895135,2103094503,56506,663864,74.16
TCS,EQ,5/10/2017,2352.55,2355,2356.15,2316,2335.75,2332.45,2330.31,603194,1405627272,50299,381618,63.27
TCS,EQ,5/11/2017,2332.45,2347.3,2360,2322.75,2350.65,2349.45,2338.36,1035651,2421728801,48951,786051,75.9
TCS,EQ,5/12/2017,2349.45,2343.3,2369.9,2320.05,2369.9,2360.65,2350.96,1157223,2720590466,43095,807055,69.74
TCS,EQ,5/15/2017,2360.65,2375.1,2377.95,2341.6,2368,2365.1,2352.6,908802,2138043383,30047,712450,78.39
TCS,EQ,5/16/2017,2365.1,2380,2435,2373.45,2425.1,2429.15,2410.26,1800513,4339703206,58476,1167534,64.84
TCS,EQ,5/17/2017,2429.15,2433.5,2460.75,2423,2450,2455.35,2443.31,1438099,3513728630,86412,1031752,71.74
TCS,EQ,5/18/2017,2455.35,2450,2572,2442.25,2525,2536.2,2525.78,2569297,6489478325,111566,1135613,44.2
TCS,EQ,5/19/2017,2536.2,2536.2,2540.55,2486,2503.85,2507.15,2506.58,893022,2238429863,63112,517461,57.94
TCS,EQ,5/22/2017,2507.15,2510,2553.75,2510,2535,2531.35,2530.69,831970,2105461143,53261,509741,61.27
TCS,EQ,5/23/2017,2531.35,2533.2,2564.15,2514,2523.7,2521.7,2530.49,1374298,3477645339,88749,995551,72.44
TCS,EQ,5/24/2017,2521.7,2534.8,2570,2529.65,2567.1,2559.15,2545.01,1267274,3225227837,58716,918505,72.48
TCS,EQ,5/25/2017,2559.15,2577,2637.55,2568,2615.05,2624.6,2605.4,2047047,5333377224,87147,1180439,57.67
TCS,EQ,5/26/2017,2624.6,2625,2626.85,2564.65,2570.05,2578.25,2593,681275,1766542911,32170,390827,57.37
TCS,EQ,5/29/2017,2578.25,2579,2596.5,2564,2572,2572.85,2577.65,874645,2254524744,41767,635375,72.64
TCS,EQ,5/30/2017,2572.85,2560,2575.95,2525,2548.2,2551.1,2554.74,463817,1184932112,26766,246206,53.08
TCS,EQ,5/31/2017,2551.1,2533,2572.5,2528,2539.95,2546.6,2549.69,1251365,3190589291,103176,925467,73.96
TCS,EQ,6/1/2017,2546.6,2530,2564,2530,2553,2553.6,2552.85,540032,1378618493,38315,370004,68.52
TCS,EQ,6/2/2017,2553.6,2556.25,2591.85,2552.5,2560,2564.9,2568.84,677824,1741220234,43736,511928,75.53
TCS,EQ,6/5/2017,2564.9,2565,2619.9,2560.15,2616,2603.95,2577.2,750094,1933140403,39041,490594,65.4
TCS,EQ,6/6/2017,2603.95,2631,2708.95,2630,2705,2696,2693.18,2973360,8007780799,132494,1888281,63.51
TCS,EQ,6/7/2017,2696,2697,2700,2576.55,2613.95,2615.25,2624.95,2463888,6467588529,109104,1265805,51.37
TCS,EQ,6/8/2017,2615.25,2598,2604.95,2515.5,2520,2521.6,2543.44,1665357,4235730503,80468,678314,40.73
TCS,EQ,6/9/2017,2521.6,2520,2547.4,2486,2518.6,2507,2513.28,1574017,3955950265,83931,599286,38.07
TCS,EQ,6/12/2017,2507,2497,2512.9,2470.4,2484.9,2487.2,2487.48,813253,2022948074,44849,306655,37.71
TCS,EQ,6/13/2017,2487.2,2465,2481.1,2447,2450,2451.55,2464.89,587707,1448635342,52410,268108,45.62
TCS,EQ,6/14/2017,2451.55,2455,2476,2455,2465.4,2470.2,2469.41,744571,1838650964,42987,456486,61.31
TCS,EQ,6/15/2017,2470.2,2469,2469.7,2405,2410,2411.2,2427.94,1498599,3638509043,65157,1140716,76.12
TCS,EQ,6/16/2017,2411.2,2414.95,2435,2386.5,2395,2399.7,2402.96,1225213,2944142144,72001,709697,57.92
TCS,EQ,6/19/2017,2399.7,2416.9,2446.35,2405.15,2432,2431.7,2430.5,822371,1998776222,53034,493678,60.03
TCS,EQ,6/20/2017,2431.7,2431,2449,2380.3,2443.6,2445,2427.14,835479,2027828499,56385,443227,53.05
TCS,EQ,6/21/2017,2445,2440,2442.15,2397.2,2406.75,2406.3,2412.24,828909,1999530130,60134,488457,58.93
TCS,EQ,6/22/2017,2406.3,2409,2431,2385,2391.45,2394.85,2403.02,2887941,6939787421,51314,2442403,84.57
TCS,EQ,6/23/2017,2394.85,2399.4,2413.95,2354,2359.8,2361.7,2388.78,712378,1701711236,52090,347676,48.8
TCS,EQ,6/27/2017,2361.7,2350.6,2384.7,2331.6,2348,2342.85,2357.33,987165,2327075045,61242,613618,62.16
TCS,EQ,6/28/2017,2342.85,2349.9,2358,2335,2346.25,2350.05,2345.89,894863,2099251694,46724,653390,73.02
TCS,EQ,6/29/2017,2350.05,2359,2372.05,2323.1,2328.95,2333.25,2342.52,1235913,2895151089,41555,909603,73.6
TCS,EQ,6/30/2017,2333.25,2324.4,2377,2323.1,2361,2362.35,2361.01,876924,2070428288,45339,543014,61.92
TCS,EQ,7/3/2017,2362.35,2357.4,2383.05,2343.1,2371,2373.6,2368.46,737978,1747872336,39614,492755,66.77
TCS,EQ,7/4/2017,2373.6,2373.3,2380.45,2350.05,2360.8,2366.85,2366.9,607567,1438053125,24611,339629,55.9
TCS,EQ,7/5/2017,2366.85,2360.8,2365,2345,2358,2356,2354.42,407928,960433302.5,22153,216685,53.12
TCS,EQ,7/6/2017,2356,2359,2361.9,2340.1,2350.05,2347.55,2348.75,513394,1205834807,26826,342973,66.81
TCS,EQ,7/7/2017,2347.55,2350,2356.45,2325.5,2332,2331.95,2343.49,616045,1443697743,52731,417958,67.85
TCS,EQ,7/10/2017,2331.95,2341,2444.9,2341,2435,2434.95,2426.54,398392,966714360.9,12486,188289,47.26
TCS,EQ,7/11/2017,2434.95,2426,2514.8,2426,2482.5,2475.8,2478.13,1768752,4383194953,96054,937311,52.99
TCS,EQ,7/12/2017,2475.8,2482.5,2483.3,2430.1,2441,2439.45,2453.34,1323225,3246316255,62259,926229,70
TCS,EQ,7/13/2017,2439.45,2445,2472,2426.6,2439,2446.4,2449.5,1565980,3835873018,64700,819249,52.32
TCS,EQ,7/14/2017,2446.4,2383,2425,2375,2399.1,2397.45,2396.18,2254216,5401499336,95561,853385,37.86
TCS,EQ,7/17/2017,2397.45,2397.7,2422.1,2382.2,2397.1,2395.45,2402.63,1105911,2657095372,49251,668063,60.41
TCS,EQ,7/18/2017,2395.45,2396.15,2443,2396.15,2415.1,2408.35,2418.05,954001,2306823903,67981,587896,61.62
TCS,EQ,7/19/2017,2408.35,2415.5,2460,2415.1,2449.25,2449.6,2442.01,1957788,4780943653,87419,1244355,63.56
TCS,EQ,7/20/2017,2449.6,2449.25,2456.9,2430.5,2437,2444.7,2441.25,591252,1443393894,23307,305250,51.63
TCS,EQ,7/21/2017,2444.7,2434.9,2500,2434.55,2496,2491.2,2473.18,1074208,2656704863,64460,652870,60.78
TCS,EQ,7/24/2017,2491.2,2482,2540,2482,2535,2530.7,2519.47,1135701,2861364170,68968,749335,65.98
TCS,EQ,7/25/2017,2530.7,2525.75,2580,2518.4,2579,2571.5,2552.41,1339416,3418736145,93466,915489,68.35
