Symbol,Series,Date,Prev Close,Open,High,Low,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,7/26/2017,2571.5,2560,2575,2547,2552,2556,2559.66,729913,1868329653,38234,464420,63.63
TCS,EQ,7/27/2017,2556,2542.2,2584.8,2466.5,2477,2481.7,2499.85,2127652,5318805858,58582,1376530,64.7
TCS,EQ,7/28/2017,2481.7,2481,2493.05,2442,2484.95,2484.3,2467.41,691376,1705908235,55534,349700,50.58
TCS,EQ,7/31/2017,2484.3,2471,2519,2463,2494.95,2491.8,2490.03,1009831,2514510450,59801,555095,54.97
TCS,EQ,8/1/2017,2491.8,2500,2520.75,2491,2495.15,2501.65,2502.14,873730,2186195097,42188,620303,70.99
TCS,EQ,8/2/2017,2501.65,2500,2508,2462,2475,2473.8,2484.51,625512,1554089627,44731,366332,58.57
TCS,EQ,8/3/2017,2473.8,2480,2502,2466.45,2490.05,2489.45,2486.75,941274,2340709564,39294,732362,77.81
TCS,EQ,8/4/2017,2489.45,2490.8,2528.3,2488,2525,2522.8,2510.86,693945,1742396092,31371,340218,49.03
TCS,EQ,8/7/2017,2522.8,2516.5,2520,2481.2,2507.4,2503.45,2491.28,942760,2348682444,29848,699856,74.23
TCS,EQ,8/8/2017,2503.45,2512,2528.6,2496.3,2500.15,2503.05,2507.64,536979,1346550397,24609,309875,57.71
TCS,EQ,8/9/2017,2503.05,2500,2522.85,2493.3,2508.35,2512,2511.32,496473,1246803082,33860,316032,63.66
TCS,EQ,8/10/2017,2512,2509,2520.6,2486.35,2520,2511.45,2499.22,763086,1907116797,37900,507304,66.48
TCS,EQ,8/11/2017,2511.45,2499.9,2535,2483,2492.65,2496.05,2503.79,697368,1746060388,41945,327636,46.98
TCS,EQ,8/14/2017,2496.05,2503,2509.9,2463,2468,2469.4,2487.26,393252,978120247.9,29766,227374,57.82
TCS,EQ,8/16/2017,2469.4,2484,2543.8,2465.2,2490.15,2492.35,2487.66,686670,1708202481,44396,437761,63.75
TCS,EQ,8/17/2017,2492.35,2500.7,2505,2462.1,2485.55,2485.65,2480.04,876187,2172977685,40452,613453,70.01
TCS,EQ,8/18/2017,2485.65,2474,2549.9,2471.4,2515,2513.8,2520.86,1418678,3576281722,77980,837580,59.04
TCS,EQ,8/21/2017,2513.8,2505.5,2549,2494.3,2513.2,2528.8,2534.62,1152417,2920941548,54265,747946,64.9
TCS,EQ,8/22/2017,2528.8,2523,2539.5,2492,2500,2497.55,2516.08,565663,1423251638,35029,287383,50.8
TCS,EQ,8/23/2017,2497.55,2505,2516.8,2473.15,2491.6,2489.45,2487.52,781136,1943093967,39129,512785,65.65
TCS,EQ,8/24/2017,2489.45,2497.7,2517.95,2486.15,2498.05,2496.6,2495.82,811954,2026487436,42614,596982,73.52
TCS,EQ,8/28/2017,2496.6,2504.6,2505.4,2461,2491,2487.3,2479.76,1018398,2525378755,54931,696983,68.44
TCS,EQ,8/29/2017,2487.3,2482,2496,2463.95,2475.05,2470.85,2472.97,656301,1623010551,23498,432172,65.85
TCS,EQ,8/30/2017,2470.85,2481,2490,2460.1,2485,2484.55,2478.46,485391,1203020937,24262,240993,49.65
TCS,EQ,8/31/2017,2484.55,2485,2504.4,2466.65,2498,2496.35,2489.91,892332,2221830191,47192,591710,66.31
TCS,EQ,9/1/2017,2496.35,2480,2498.05,2436.55,2460.6,2456.45,2452.84,851165,2087770465,40185,447974,52.63
TCS,EQ,9/4/2017,2456.45,2453.1,2461,2438,2457,2456.2,2452.06,531272,1302711214,29763,314907,59.27
TCS,EQ,9/5/2017,2456.2,2460,2490,2437.05,2484.65,2484.35,2463.13,582997,1435996999,27861,390654,67.01
TCS,EQ,9/6/2017,2484.35,2468.15,2474.85,2450,2453,2453.2,2454.77,614382,1508166252,37430,428731,69.78
TCS,EQ,9/7/2017,2453.2,2458,2468.4,2451.05,2460,2460.1,2458.6,435318,1070273155,35496,314028,72.14
TCS,EQ,9/8/2017,2460.1,2453.75,2474,2452.55,2465.15,2470.6,2466.13,510567,1259126114,26980,354180,69.37
TCS,EQ,9/11/2017,2470.6,2471.2,2482.95,2450,2455,2454.45,2463.39,366382,902539941.4,17519,260179,71.01
TCS,EQ,9/12/2017,2454.45,2473.9,2497,2457,2497,2488.45,2469.62,698230,1724359523,25758,552659,79.15
TCS,EQ,9/13/2017,2488.45,2500,2531.65,2475.2,2492.7,2489.2,2504.48,639490,1601590314,32185,345028,53.95
TCS,EQ,9/14/2017,2489.2,2482,2497.6,2471.9,2485,2486.95,2484.2,540755,1343342208,38222,389170,71.97
TCS,EQ,9/15/2017,2486.95,2499,2517,2485,2504,2506.05,2503.39,1472036,3685085664,57885,1204007,81.79
TCS,EQ,9/18/2017,2506.05,2504.95,2518.95,2489.25,2505,2499.05,2502.71,363300,909233455.5,34868,240697,66.25
TCS,EQ,9/19/2017,2499.05,2505,2505,2491.5,2498,2498.25,2496.55,391377,977092538.4,14036,296891,75.86
TCS,EQ,9/20/2017,2498.25,2514,2514,2474.3,2496,2493.55,2485.89,667321,1658884674,21548,536043,80.33
TCS,EQ,9/21/2017,2493.55,2491.05,2541,2480,2525,2524.9,2509.94,1219370,3060544846,44213,843424,69.17
TCS,EQ,9/22/2017,2524.9,2519.9,2526.9,2492,2509,2503.6,2508.22,1217698,3054249816,47174,887364,72.87
TCS,EQ,9/25/2017,2503.6,2496.55,2534,2492.75,2510,2510.75,2515.11,799779,2011528454,50797,499966,62.51
TCS,EQ,9/26/2017,2510.75,2510,2526.4,2466,2475,2474.65,2485.79,724615,1801238878,30740,496026,68.45
TCS,EQ,9/27/2017,2474.65,2490,2512.2,2473.75,2495.1,2495,2495.71,1005178,2508634483,37197,646194,64.29
TCS,EQ,9/28/2017,2495,2494.7,2514,2452,2472.75,2476.45,2480.49,2166433,5373819971,89294,1630581,75.27
TCS,EQ,9/29/2017,2476.45,2479,2484,2421.5,2437.6,2435.95,2455.42,992507,2437024637,60239,705264,71.06
TCS,EQ,10/3/2017,2435.95,2440,2454.3,2427.05,2452,2448.45,2440.87,961503,2346905981,57917,685041,71.25
TCS,EQ,10/4/2017,2448.45,2449.6,2454,2425,2442,2442.3,2440.46,650389,1587250046,31490,469306,72.16
TCS,EQ,10/5/2017,2442.3,2441,2443.45,2424.4,2430,2429.6,2434.97,842343,2051077541,21566,693866,82.37
TCS,EQ,10/6/2017,2429.6,2430,2455,2428.05,2451,2446.65,2443.5,694594,1697239803,31692,487487,70.18
TCS,EQ,10/9/2017,2446.65,2441.05,2467.95,2441.05,2449.1,2454.1,2457.72,886808,2179528945,30973,714603,80.58
TCS,EQ,10/10/2017,2454.1,2455,2469.95,2451.25,2453.4,2459.25,2459.75,611005,1502919509,32806,477108,78.09
TCS,EQ,10/11/2017,2459.25,2460,2514.45,2456.75,2500,2500.35,2494.35,763873,1905365312,39551,473024,61.92
TCS,EQ,10/12/2017,2500.35,2513,2555,2507,2546.9,2548.2,2529.48,2503178,6331734421,55773,1654922,66.11
TCS,EQ,10/13/2017,2548.2,2548.2,2608.95,2523,2559.75,2558.6,2562.16,2033160,5209287767,83968,623802,30.68
TCS,EQ,10/16/2017,2558.6,2555.05,2590,2555.05,2587,2584.4,2577.86,609295,1570677295,50285,381873,62.67
TCS,EQ,10/17/2017,2584.4,2585,2614.95,2577.55,2594.6,2594.55,2598.37,721508,1874743481,33284,421119,58.37
TCS,EQ,10/18/2017,2594.55,2595,2613.65,2580,2592,2586.6,2588.24,757072,1959481782,27424,556509,73.51
TCS,EQ,10/19/2017,2586.6,2592,2595.8,2571,2583.4,2583.9,2581.96,43411,112085629.9,2351,13869,31.95
TCS,EQ,10/23/2017,2583.9,2584,2629,2547.45,2590,2587.9,2599.06,943044,2451028659,58735,720214,76.37
TCS,EQ,10/24/2017,2587.9,2620,2620.9,2569.05,2575,2578.4,2581.12,669510,1728088703,44454,495808,74.06
TCS,EQ,10/25/2017,2578.4,2578.5,2614,2555,2560,2559.9,2580.66,552553,1425951633,38719,362115,65.53
TCS,EQ,10/26/2017,2559.9,2535.1,2569.15,2517.9,2531.7,2538.85,2541.16,1503776,3821328695,52192,1032027,68.63
TCS,EQ,10/27/2017,2538.85,2538,2593.15,2530.3,2580,2584.3,2567.39,704635,1809074619,34346,505106,71.68
TCS,EQ,10/30/2017,2584.3,2586,2620,2581.7,2615.1,2616.2,2606.79,568626,1482289818,21542,350603,61.66
TCS,EQ,10/31/2017,2616.2,2601.3,2640,2601.3,2618.75,2624,2627.82,796317,2092579457,45128,558622,70.15
TCS,EQ,11/1/2017,2624,2624,2626.85,2578.85,2607.75,2602.85,2593.88,370941,962175485.8,28138,196048,52.85
TCS,EQ,11/2/2017,2602.85,2608.5,2674,2606.75,2623.05,2626.15,2639.78,734211,1938158859,29980,406095,55.31
TCS,EQ,11/3/2017,2626.15,2632.4,2636.7,2602.8,2622,2620.1,2619.76,333443,873540922.1,29606,214694,64.39
TCS,EQ,11/6/2017,2620.1,2620,2671.8,2611.75,2660.15,2665.55,2641.62,688500,1818752069,61866,527626,76.63
TCS,EQ,11/7/2017,2665.55,2670,2768,2666.05,2710,2710.05,2718.44,1348446,3665665142,61294,584060,43.31
TCS,EQ,11/8/2017,2710.05,2723,2759,2718.25,2737,2735,2741.21,701126,1921934581,48744,444618,63.41
TCS,EQ,11/9/2017,2735,2750,2750,2719.3,2740,2736.4,2732.42,576216,1574462790,27786,370073,64.22
TCS,EQ,11/10/2017,2736.4,2722.2,2726,2693.35,2710,2708.75,2706.84,678283,1836006501,22485,456167,67.25
TCS,EQ,11/13/2017,2708.75,2702.05,2777.4,2702.05,2756.55,2758.95,2757.27,748498,2063808990,44504,379983,50.77
TCS,EQ,11/14/2017,2758.95,2756.55,2756.55,2707.5,2710,2714.6,2718.61,828626,2252715047,50733,554011,66.86
TCS,EQ,11/15/2017,2714.6,2706,2755,2701.35,2710,2705.3,2736.73,3335417,9128129059,47448,2841173,85.18
TCS,EQ,11/16/2017,2705.3,2710,2763,2686.95,2739.9,2746.65,2734,826741,2260313403,45075,380359,46.01
TCS,EQ,11/17/2017,2746.65,2748.1,2748.1,2703.6,2708.2,2707.3,2719.89,662732,1802558457,34043,411909,62.15
TCS,EQ,11/20/2017,2707.3,2715,2726.9,2695.3,2697.9,2703.45,2709.98,507249,1374632868,27013,360469,71.06
TCS,EQ,11/21/2017,2703.45,2701,2701,2666,2670.25,2672.95,2678.52,763870,2046044819,38552,527247,69.02
TCS,EQ,11/22/2017,2672.95,2673,2709.7,2672.4,2681.4,2680.65,2690.88,911312,2452235277,67085,612065,67.16
TCS,EQ,11/23/2017,2680.65,2681,2693,2669,2676.55,2681.25,2684.25,396735,1064937718,31522,189438,47.75
TCS,EQ,11/24/2017,2681.25,2682,2702.9,2673.1,2688.2,2688.05,2688.26,1143756,3074710399,47991,936777,81.9
TCS,EQ,11/27/2017,2688.05,2688,2695.9,2662.2,2683.05,2685.85,2678.65,928393,2486839610,40042,725134,78.11
TCS,EQ,11/28/2017,2685.85,2686,2702.4,2670,2681.05,2685.3,2679.22,455858,1221342324,29742,298928,65.57
TCS,EQ,11/29/2017,2685.3,2677.5,2693,2650,2653.65,2658.15,2674.7,723766,1935855718,41795,531968,73.5
TCS,EQ,11/30/2017,2658.15,2653.65,2666.95,2623,2635,2637,2641.37,2149981,5678900013,86807,1464976,68.14
TCS,EQ,12/1/2017,2637,2635,2668,2621.5,2630,2629.95,2647.75,515572,1365104151,37693,285458,55.37
TCS,EQ,12/4/2017,2629.95,2622,2658.5,2602.95,2630,2632.35,2629.84,629552,1655623149,37609,342423,54.39
TCS,EQ,12/5/2017,2632.35,2631,2651.7,2628.15,2633,2635.55,2641.13,583957,1542308264,33907,386120,66.12
TCS,EQ,12/6/2017,2635.55,2636,2645,2612.85,2635,2633.3,2627.47,703759,1849107520,61422,534381,75.93
TCS,EQ,12/7/2017,2633.3,2632.3,2645.95,2615,2617.95,2617.25,2623.62,663150,1739856625,52980,503427,75.91
TCS,EQ,12/8/2017,2617.25,2618,2645,2597,2600,2601.5,2621.69,692774,1816237017,67356,443099,63.96
TCS,EQ,12/11/2017,2601.5,2608.35,2672.65,2608.35,2670,2661.1,2635.45,504001,1328268598,47999,298309,59.19
TCS,EQ,12/12/2017,2661.1,2661,2662,2607.4,2609.55,2612.15,2624.14,941123,2469638200,57531,622120,66.1
TCS,EQ,12/13/2017,2612.15,2611.4,2651.45,2601,2633.5,2628.4,2632.07,1480729,3897385720,48513,1169964,79.01
TCS,EQ,12/14/2017,2628.4,2632,2632,2531.1,2558.2,2557.8,2558.8,2752075,7041999539,118270,1987921,72.23
TCS,EQ,12/15/2017,2557.8,2563.75,2584.45,2536.85,2543.95,2545.6,2552.92,1359069,3469591951,97835,934401,68.75
TCS,EQ,12/18/2017,2545.6,2537,2588.95,2494.35,2576.6,2580.5,2548.56,1090332,2778774408,71724,588034,53.93
TCS,EQ,12/19/2017,2580.5,2576,2597.8,2564.7,2577.4,2575.3,2583.18,900976,2327386545,76762,633455,70.31
TCS,EQ,12/20/2017,2575.3,2582,2592.75,2550.65,2592,2588.95,2573.6,788785,2030019887,68386,530550,67.26
TCS,EQ,12/21/2017,2588.95,2587,2608,2580.05,2582.1,2595.7,2595.09,646824,1678569251,40095,439879,68.01
TCS,EQ,12/22/2017,2595.7,2604,2663.9,2590.2,2640,2646.75,2636.33,1832832,4831948536,85852,757097,41.31
TCS,EQ,12/26/2017,2646.75,2686,2689.75,2631.6,2650.35,2649.45,2653.61,1087893,2886838516,52053,517570,47.58
TCS,EQ,12/27/2017,2649.45,2649.45,2658.5,2610.5,2617,2619.9,2632.21,369642,972974332.2,20483,142233,38.48
TCS,EQ,12/28/2017,2619.9,2608.8,2653.5,2605.65,2631,2626.95,2630.44,1302544,3426257490,47992,885214,67.96
TCS,EQ,12/29/2017,2626.95,2623.1,2708.9,2618.55,2700,2701.2,2677.92,1304771,3494069340,51608,757663,58.07
TCS,EQ,1/1/2018,2701.2,2682.3,2694.8,2635,2650,2645.6,2654.94,675880,1794417717,19464,330691,48.93
TCS,EQ,1/2/2018,2645.6,2660,2669.6,2620.2,2631,2631.2,2641.06,960145,2535800011,46813,555820,57.89
TCS,EQ,1/3/2018,2631.2,2632,2669,2631.2,2639,2638.65,2649.21,628560,1665185619,32104,361072,57.44
TCS,EQ,1/4/2018,2638.65,2650,2662,2640,2650,2657.1,2649.94,456541,1209807238,32647,264561,57.95
TCS,EQ,1/5/2018,2657.1,2650,2699.5,2650,2695,2689.2,2684.95,576853,1548821282,30836,318083,55.14
TCS,EQ,1/8/2018,2689.2,2700,2726.85,2681.85,2708.8,2714.4,2709.74,621110,1683046448,43815,345599,55.64
TCS,EQ,1/9/2018,2714.4,2715,2721,2676.55,2708.95,2709,2703.56,1074698,2905511380,47403,612650,57.01
TCS,EQ,1/10/2018,2709,2711,2816,2694.65,2803,2806.6,2763.3,1682925,4650423557,70764,699460,41.56
TCS,EQ,1/11/2018,2806.6,2810,2821.9,2782.2,2792.5,2790.5,2796.58,1260524,3525161029,71604,578244,45.87
TCS,EQ,1/12/2018,2790.5,2805,2805,2740.55,2769.9,2776.35,2764.28,1680157,4644422668,90884,472438,28.12
TCS,EQ,1/15/2018,2776.35,2777.15,2808,2735.05,2737.4,2746.1,2768.32,728607,2017014657,49926,394675,54.17
TCS,EQ,1/16/2018,2746.1,2756,2861.65,2750.55,2860,2850.85,2834.5,2133876,6048464572,85776,639155,29.95
TCS,EQ,1/17/2018,2850.85,2870,2925,2862.15,2895,2888.95,2900.36,2140403,6207945520,94873,965845,45.12
TCS,EQ,1/18/2018,2888.95,2897,2933,2868.05,2926.55,2918.2,2896.35,1104739,3199711974,51786,568379,51.45
TCS,EQ,1/19/2018,2918.2,2930.55,2982,2903.65,2974.85,2959.3,2930.77,910000,2667000913,44039,436952,48.02
TCS,EQ,1/22/2018,2959.3,2961,3134.7,2922,3090,3116.4,3052.16,2183555,6664565989,97757,663651,30.39
TCS,EQ,1/23/2018,3116.4,3114.95,3142.35,3090.05,3097.9,3102,3112.03,1619805,5040878630,68887,705309,43.54
TCS,EQ,1/24/2018,3102,3090,3259.05,3082.65,3174.95,3174.6,3189.59,2810769,8965187783,111512,862385,30.68
